[20Jan2025 23:14:32.666] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[20Jan2025 23:14:32.669] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.13 by Ubuntu; OS Linux arch amd64 version 6.5.0-1025-azure
[20Jan2025 23:14:33.225] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[20Jan2025 23:14:33.272] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/servidor/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[20Jan2025 23:14:33.532] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/servidor/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[20Jan2025 23:14:33.534] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/servidor/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Jan2025 23:14:33.535] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/servidor/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Jan2025 23:14:33.536] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/servidor/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[20Jan2025 23:14:33.685] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 2 dependencies adding them to mods collection
[20Jan2025 23:14:35.834] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[20Jan2025 23:14:35.862] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[20Jan2025 23:14:37.056] [main/INFO] [MixinExtras|Service/]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.4.1).
[20Jan2025 23:14:42.769] [main/WARN] [mixin/]: Mixin alexscaves.mixins.json:SwampHutPieceMixin has multiple constructors, (Lnet/minecraft/world/level/levelgen/structure/pieces/StructurePieceType;IIIIIILnet/minecraft/core/Direction;)V was selected
[20Jan2025 23:14:47.111] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key blocks.soul_swirls_cooldown was corrected from null to its default, 50. 
[20Jan2025 23:14:47.111] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key blocks.unbounded_speed_duration was corrected from null to its default, 10. 
[20Jan2025 23:14:47.111] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key blocks.soul_swirls_bone_meal_behavior was corrected from null to its default, DUPLICATES. 
[20Jan2025 23:14:47.112] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key blocks.sculk_grinder_experience was corrected from null to its default, 450. 
[20Jan2025 23:14:47.113] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key items was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.113] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key items.potion_stack_size was corrected from null to its default, 16. 
[20Jan2025 23:14:47.114] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key items.will_o_wisp_stack_size was corrected from null to its default, 40.0. 
[20Jan2025 23:14:47.114] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key items.black_icicle_freeze_ticks was corrected from null to its default, 500. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.diminishing_blazes was corrected from null to its default, true. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.pixel_consistent_magma_cubes was corrected from null to its default, true. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.skeleton_fossilization was corrected from null to its default, true. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.wither_skeleton_fossilization was corrected from null to its default, true. 
[20Jan2025 23:14:47.116] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.phasmophobic_mobs was corrected from null to its default, true. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.hoglin_drops_hogham was corrected from null to its default, true. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.wither_skeleton_drops_fossil_fuel was corrected from null to its default, false. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.wisp_emerging_chance was corrected from null to its default, 50. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.suspicious_soul_sand_from_wisp_emerging was corrected from null to its default, true. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.ecto_slab_emerging_behavior was corrected from null to its default, UNBOUNDED_SPEED_ONLY. 
[20Jan2025 23:14:47.117] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.ecto_slab_emerging_chance was corrected from null to its default, 40. 
[20Jan2025 23:14:47.118] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key entities.ecto_slab_emerging_with_unbounded_speed was corrected from null to its default, 10. 
[20Jan2025 23:14:47.119] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.nether_fog_distance was corrected from null to its default, MEDIUM. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.larger_nether_biomes was corrected from null to its default, false. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.amplifier_immunity_reduction was corrected from null to its default, true. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.ectoplasm_rusts_netherite was corrected from null to its default, true. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.ectoplasm_freezing_damage was corrected from null to its default, true. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.reduce_soul_sand_slowness was corrected from null to its default, false. 
[20Jan2025 23:14:47.120] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.remove_soul_speed_durability_penalty was corrected from null to its default, false. 
[20Jan2025 23:14:47.121] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key game_mechanics.dev_test_mode was corrected from null to its default, false. 
[20Jan2025 23:14:47.122] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key sub_biome was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.122] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key sub_biome.enable_sub_biomes was corrected from null to its default, true. 
[20Jan2025 23:14:47.122] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key sub_biome.black_ice_glaciers_rarity was corrected from null to its default, 0.075. 
[20Jan2025 23:14:47.122] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key sub_biome.black_ice_glaciers_size was corrected from null to its default, 64. 
[20Jan2025 23:14:47.124] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.124] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds.improved_fireball_particles was corrected from null to its default, true. 
[20Jan2025 23:14:47.124] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds.improved_soul_fire_particles was corrected from null to its default, true. 
[20Jan2025 23:14:47.124] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds.enable_black_ice_particles was corrected from null to its default, true. 
[20Jan2025 23:14:47.124] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds.enable_ectoplasm_particles was corrected from null to its default, true. 
[20Jan2025 23:14:47.125] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key particles_and_sounds.enable_ectoplasm_sounds was corrected from null to its default, true. 
[20Jan2025 23:14:47.131] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/servidor/servidor_minecraft/config/sophisticatedcore-common.toml is not correct. Correcting
[20Jan2025 23:14:47.131] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.131] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.enabledItems was corrected from null to its default, []. 
[20Jan2025 23:14:47.133] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/servidor/servidor_minecraft/config/sophisticatedbackpacks-common.toml is not correct. Correcting
[20Jan2025 23:14:47.133] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.133] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.chestLootEnabled was corrected from null to its default, true. 
[20Jan2025 23:14:47.135] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/servidor/servidor_minecraft/config/cataclysm.toml is not correct. Correcting
[20Jan2025 23:14:47.135] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.135] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.lavaVisionOpacity was corrected from null to its default, 0.5. 
[20Jan2025 23:14:47.135] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.shadersCompat was corrected from null to its default, false. 
[20Jan2025 23:14:47.135] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.ScreenShake(on/off) was corrected from null to its default, true. 
[20Jan2025 23:14:47.136] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.custombossbar(on/off) was corrected from null to its default, true. 
[20Jan2025 23:14:47.136] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.BossMusic(on/off) was corrected from null to its default, true. 
[20Jan2025 23:14:47.136] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Etc.BossMusicVolume was corrected from null to its default, 1. 
[20Jan2025 23:14:47.136] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.136] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.Armor Infinity Durability(on/off) was corrected from null to its default, true. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.BulwarkOfTheFlameCooldown was corrected from null to its default, 80. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.GauntletOfBulwarkCooldown was corrected from null to its default, 80. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.InfernalForgeCooldown was corrected from null to its default, 80. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.VoidForgeCooldown was corrected from null to its default, 120. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.TheIncineratorCooldown was corrected from null to its default, 400. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.WASWMissileCooldown was corrected from null to its default, 40. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.WASW's WitherMissiledamage was corrected from null to its default, 16.0. 
[20Jan2025 23:14:47.137] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.WASWHowitzerCooldown was corrected from null to its default, 100. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.VASWCooldown was corrected from null to its default, 120. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.VoidCoreCooldown was corrected from null to its default, 160. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.Sandstormcooldown was corrected from null to its default, 300. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.SoulRenderCooldown was corrected from null to its default, 100. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.gauntletofMaelstromCooldown was corrected from null to its default, 180. 
[20Jan2025 23:14:47.138] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Weapon.immolatorCooldown was corrected from null to its default, 300. 
[20Jan2025 23:14:47.139] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Block was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.139] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Block.Cursed Tombstone Summon cooldown Minute was corrected from null to its default, 30. 
[20Jan2025 23:14:47.140] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.140] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Voidrunedamage was corrected from null to its default, 7.0. 
[20Jan2025 23:14:47.140] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Ashenbreathdamage was corrected from null to its default, 4.0. 
[20Jan2025 23:14:47.140] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.DeathLaserdamage was corrected from null to its default, 5.0. 
[20Jan2025 23:14:47.140] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.DeathLaserHpdamage was corrected from null to its default, 5.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Laserdamage was corrected from null to its default, 7.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.BlazingBonedamage was corrected from null to its default, 5.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.LionfishSpikedamage was corrected from null to its default, 4.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.WitherHowizterdamage was corrected from null to its default, 8.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.DimensionalRiftdamage was corrected from null to its default, 10.0. 
[20Jan2025 23:14:47.141] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.WitherHomingMissiledamage was corrected from null to its default, 3.0. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.AbyssBlastdamage was corrected from null to its default, 10.0. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.AbyssBlastHpdamage was corrected from null to its default, 0.1. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.AbyssOrbdamage was corrected from null to its default, 4.0. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Lavabombradius was corrected from null to its default, 2. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Amethyst Cluster Damage was corrected from null to its default, 12.0. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Sandstorm Damage was corrected from null to its default, 5.0. 
[20Jan2025 23:14:47.142] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Ancient Desert Stele Damage was corrected from null to its default, 18.0. 
[20Jan2025 23:14:47.143] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Phantom Arrow Damage was corrected from null to its default, 5.0. 
[20Jan2025 23:14:47.143] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Phantom Halberd Damage was corrected from null to its default, 12.0. 
[20Jan2025 23:14:47.143] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Cursed Sandstorm Damage was corrected from null to its default, 6.0. 
[20Jan2025 23:14:47.143] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Flame Jet Damage was corrected from null to its default, 7.0. 
[20Jan2025 23:14:47.143] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Entity damage.Flare Bomb Damage was corrected from null to its default, 7.0. 
[20Jan2025 23:14:47.144] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian was corrected from null to its default, SimpleCommentedConfig:{}. 
[20Jan2025 23:14:47.144] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.EnderGuardianHealthMultiplier was corrected from null to its default, 1.0. 
[20Jan2025 23:14:47.144] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.EnderGuardianDamageMultiplier was corrected from null to its default, 1.0. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.EnderGuardianDamageCap was corrected from null to its default, 22.0. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.EnderGuardianNatureHealing was corrected from null to its default, 10.0. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.EnderguardianBlockBreaking was corrected from null to its default, true. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.Guardian's prevent attacks from far away Range was corrected from null to its default, 12.0. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.Guardian's gravity Punch Hp Damage was corrected from null to its default, 0.05. 
[20Jan2025 23:14:47.145] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.Guardian's Teleport attack Hp Damage was corrected from null to its default, 0.05. 
[20Jan2025 23:14:47.146] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.Guardian's knockback Hp Damage was corrected from null to its default, 0.06. 
[20Jan2025 23:14:47.146] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key Ender Guardian.Guardian's Uppercut Hp Damage was corrected from null to its default, 0.1. 
